,District,Year-Month,CommName,Year,Month,Arrivals,Model,Weighted_Modal
163,Jagityal,2017-06-01,Cotton,2017,Jun,102.0,4150.0,4150.0
164,Jagityal,2017-06-01,Maize,2017,Jun,340.0,1442.2105263157894,1455.3764705882354
165,Jagityal,2017-06-01,Paddy,2017,Jun,6593.8,1476.0108695652175,1503.168810094331
166,Jagityal,2017-07-01,Maize,2017,Jul,63.0,1537.2222222222222,1537.2222222222222
167,Jagityal,2017-07-01,Paddy,2017,Jul,375.0,1422.0555555555557,1476.504
168,Jagityal,2017-08-01,Maize,2017,Aug,28.0,1424.75,1424.75
169,Jagityal,2017-08-01,Paddy,2017,Aug,3186.0,1369.6363636363637,1506.7909604519773
170,Jagityal,2017-09-01,Maize,2017,Sep,1298.0,1366.5,1404.0631741140216
171,Jagityal,2017-09-01,Paddy,2017,Sep,121.0,1551.7692307692307,1757.5371900826447
172,Jagityal,2017-10-01,Maize,2017,Oct,38950.0,1385.3020833333333,1379.6023748395378
173,Jagityal,2017-10-01,Paddy,2017,Oct,591.0,1615.3,1554.263959390863
174,Jagityal,2017-11-01,Cotton,2017,Nov,1612.0,4320.0,4320.0
175,Jagityal,2017-11-01,Maize,2017,Nov,110220.5,1432.5955882352941,1402.0136680563053
176,Jagityal,2017-11-01,Paddy,2017,Nov,95055.0,1614.732142857143,1655.9252748408817
177,Jagityal,2017-12-01,Cotton,2017,Dec,27.0,4320.0,4320.0
178,Jagityal,2017-12-01,Maize,2017,Dec,3316.0,1363.1724137931035,1390.0
179,Jagityal,2017-12-01,Paddy,2017,Dec,16571.0,1668.7742424242424,1700.9061060487195
180,Jagityal,2018-01-01,Maize,2018,Jan,384.0,1248.375,1293.8619791666667
181,Jagityal,2018-01-01,Paddy,2018,Jan,910.0,1886.126984126984,1703.135164835165
182,Jagityal,2018-02-01,Maize,2018,Feb,732.0,1222.9,1224.9603825136612
183,Jagityal,2018-02-01,Paddy,2018,Feb,361.0,1804.7156862745098,1783.7516158818096
184,Jagityal,2018-03-01,Maize,2018,Mar,1615.0,1208.842105263158,1216.5566563467492
185,Jagityal,2018-03-01,Paddy,2018,Mar,269.0,1669.2777777777778,1616.0408921933085
186,Jagityal,2018-04-01,Maize,2018,Apr,19283.0,1311.4166666666667,1383.1910491106155
187,Jagityal,2018-04-01,Paddy,2018,Apr,34959.6,1567.6346153846155,1547.1001670499663
188,Jagityal,2018-05-01,Maize,2018,May,7376.9,1287.5882352941176,1403.6408925158264
189,Jagityal,2018-05-01,Paddy,2018,May,129975.59999999999,1563.4274809160306,1567.7783522445752
190,Jagityal,2018-06-01,Maize,2018,Jun,106.0,1178.8461538461538,1182.688679245283
191,Jagityal,2018-06-01,Paddy,2018,Jun,324.0,1352.2105263157894,1354.4259259259259
192,Jagityal,2018-07-01,Maize,2018,Jul,40.0,1175.2,1190.925
